material_id,A,B,X,r_A,r_B,r_X,chi_A,chi_B,chi_X,q_A,q_B,q_X,tolerance_t,oct_factor,a_lat_est_A,vol_est_A3,delta_chi_BX,mu_BX,is_organic_A,a_lat_mp_A,band_gap_gga_eV,Eform_eV_atom,e_above_hull_eV,Eg_target_eV,source
MAPbBr3_lit,MA,Pb,Br,2.17,1.19,1.96,2.3,2.33,2.96,1,2,-1,0.9271,0.60714,8.9095,707.2397,0.63,3.15,1,9.08773635180951,,,,2.35,exp_lit
MAPbCl3_lit,MA,Pb,Cl,2.17,1.19,1.81,2.3,2.33,3.16,1,2,-1,0.93809,0.65746,8.4853,610.9403,0.83,3.0,1,8.654987001723343,,,,3.07,exp_lit
MAPbI3_lit,MA,Pb,I,2.17,1.19,2.2,2.3,2.33,2.66,1,2,-1,0.91152,0.54091,9.5884,881.5239,0.33,3.39,1,9.780135311947378,,,,1.55,exp_lit
MASnBr3_lit,MA,Sn,Br,2.17,1.18,1.96,2.3,1.96,2.96,1,2,-1,0.93005,0.60204,8.8813,700.5255,1.0,3.14,1,9.058886395137097,,,,2.15,exp_lit
MASnCl3_lit,MA,Sn,Cl,2.17,1.18,1.81,2.3,1.96,3.16,1,2,-1,0.94123,0.65193,8.457,604.8512,1.2,2.99,1,8.626137045050932,,,,3.2,exp_lit
MASnI3_lit,MA,Sn,I,2.17,1.18,2.2,2.3,1.96,2.66,1,2,-1,0.91422,0.53636,9.5601,873.7458,0.7,3.38,1,9.751285355274966,,,,1.2,exp_lit
mp-998176,Rb,Pb,Br,1.52,1.19,1.96,0.82,2.33,2.96,1,2,-1,0.78118,0.60714,8.9095,707.2397,0.63,3.15,0,5.9835,1.7508,-1.573023442499999,0.039393365000003004,2.79,MP+exp_lit
mp-998605,Rb,Pb,Cl,1.52,1.19,1.81,0.82,2.33,3.16,1,2,-1,0.78489,0.65746,8.4853,610.9403,0.83,3.0,0,5.7161,2.1948,-1.8286259214999991,0.038132586000002,3.13,MP+exp_lit
RbPbI3_est,Rb,Pb,I,1.52,1.19,2.2,0.82,2.33,2.66,1,2,-1,0.77594,0.54091,9.5884,881.5239,0.33,3.39,0,,,,,2.65,exp_lit
mp-998157,Rb,Sn,Br,1.52,1.18,1.96,0.82,1.96,2.96,1,2,-1,0.78367,0.60204,8.8813,700.5255,1.0,3.14,0,5.9047,0.6010000000000001,-1.4789800259999961,0.044643826000001004,1.8,MP+exp_lit
mp-998156,Rb,Sn,Cl,1.52,1.18,1.81,0.82,1.96,3.16,1,2,-1,0.78751,0.65193,8.457,604.8512,1.2,2.99,0,5.6033,0.9861000000000001,-1.760047194499999,0.022738519999999002,2.6,MP+exp_lit
